ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands
200,simple,SKU-200,,ĐỒNG HỒ CƠ - Mẫu 001,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ CƠ - Mẫu 001,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ CƠ - Mẫu 001. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,42,5,0,0,0.2,10,10,5,1,,1206692,1500000,ĐỒNG HỒ CƠ,,,,,,,,,,,,
201,simple,SKU-201,,ĐỒNG HỒ CƠ - Mẫu 002,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ CƠ - Mẫu 002,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ CƠ - Mẫu 002. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,88,5,0,0,0.2,10,10,5,1,,1245781,1500000,ĐỒNG HỒ CƠ,,,,,,,,,,,,
202,simple,SKU-202,,ĐỒNG HỒ ĐIỆN TỬ - Mẫu 003,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ ĐIỆN TỬ - Mẫu 003,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ ĐIỆN TỬ - Mẫu 003. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,18,5,0,0,0.2,10,10,5,1,,2405769,3000000,ĐỒNG HỒ ĐIỆN TỬ,,,,,,,,,,,,
203,simple,SKU-203,,ĐỒNG HỒ ĐIỆN TỬ - Mẫu 004,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ ĐIỆN TỬ - Mẫu 004,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ ĐIỆN TỬ - Mẫu 004. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,92,5,0,0,0.2,10,10,5,1,,4167385,5000000,ĐỒNG HỒ ĐIỆN TỬ,,,,,,,,,,,,
204,simple,SKU-204,,ĐỒNG HỒ NAM - Mẫu 005,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ NAM - Mẫu 005,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ NAM - Mẫu 005. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,65,5,0,0,0.2,10,10,5,1,,1842060,2000000,ĐỒNG HỒ NAM,,,,,,,,,,,,
205,simple,SKU-205,,ĐỒNG HỒ TRẺ EM - Mẫu 006,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ TRẺ EM - Mẫu 006,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ TRẺ EM - Mẫu 006. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,55,5,0,0,0.2,10,10,5,1,,1608936,2000000,ĐỒNG HỒ TRẺ EM,,,,,,,,,,,,
206,simple,SKU-206,,ĐỒNG HỒ CƠ - Mẫu 007,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ CƠ - Mẫu 007,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ CƠ - Mẫu 007. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,33,5,0,0,0.2,10,10,5,1,,1232824,1500000,ĐỒNG HỒ CƠ,,,,,,,,,,,,
207,simple,SKU-207,,ĐỒNG HỒ NAM - Mẫu 008,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ NAM - Mẫu 008,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ NAM - Mẫu 008. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,76,5,0,0,0.2,10,10,5,1,,1412571,1500000,ĐỒNG HỒ NAM,,,,,,,,,,,,
208,simple,SKU-208,,ĐỒNG HỒ ĐIỆN TỬ - Mẫu 009,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ ĐIỆN TỬ - Mẫu 009,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ ĐIỆN TỬ - Mẫu 009. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,21,5,0,0,0.2,10,10,5,1,,2673397,3000000,ĐỒNG HỒ ĐIỆN TỬ,,,,,,,,,,,,
209,simple,SKU-209,,ĐỒNG HỒ TRẺ EM - Mẫu 010,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ TRẺ EM - Mẫu 010,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ TRẺ EM - Mẫu 010. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,95,5,0,0,0.2,10,10,5,1,,1751654,2000000,ĐỒNG HỒ TRẺ EM,,,,,,,,,,,,
